rpm,speed,h,time,TC 1,TC 2,TC 3,TC 4,TC 5,TC 6,IR_N
800,60,0.15,47:11.0,17.2,17,17.2,16.7,17.2,16.7,TR_20250317225426700_FN50.jpeg
800,60,0.15,47:11.4,16.2,17.2,17.2,16.5,17.2,17,TR_20250317225426700_FN100.jpeg
800,60,0.15,47:11.9,16.7,17.2,16.5,17.2,17.2,17,TR_20250317225426700_FN110.jpeg
800,60,0.15,47:12.4,16.7,17.2,17.2,17,17.2,17,TR_20250317225426700_FN220.jpeg
800,60,0.15,47:12.9,17,17.2,17.2,17.2,16.7,17,TR_20250317225426700_FN290.jpeg
800,60,0.15,47:13.4,16.5,17,17,17,17.2,17.2,TR_20250317225426700_FN370.jpeg
800,60,0.15,47:13.9,17,17,17.2,16.7,17.2,17,TR_20250317225426700_FN500.jpeg
800,60,0.15,47:14.4,17.2,16.7,17,17.2,17.2,17,TR_20250317225426700_FN600.jpeg
800,60,0.15,47:14.9,17,17,17.2,17.2,17.2,17.2,TR_20250317225426700_FN710.jpeg
800,60,0.15,47:15.4,17,17.2,16.7,16.5,17.2,16.7,TR_20250317225426700_FN790.jpeg
800,60,0.15,47:15.9,16.7,17,17.2,17,17.2,17.2,TR_20250317225426700_FN900.jpeg
800,60,0.15,47:16.4,16.7,17,16.7,17,16.7,17,TR_20250317225426700_FN910.jpeg
800,60,0.15,47:16.9,16.7,17,16.7,17.2,16.5,16.7,TR_20250317225426700_FN1000.jpeg
800,60,0.15,47:17.4,17,17.2,16.7,16.5,17.2,17,TR_20250317225426700_FN1060.jpeg
800,60,0.15,47:17.9,17,17,17,16.5,16.7,16.5,TR_20250317225426700_FN1150.jpeg
800,60,0.15,47:18.4,16.7,16.5,17.2,17.2,17.2,16.7,TR_20250317225426700_FN1439.jpeg
